id,final_status,category,subject,path,line,confidence,risk,proof_eligible,loc,bytes,status_reason
CRT-001,KEEP,orphan-file,extensions/backrooms3d.js,extensions/backrooms3d.js,,medium,medium,False,598,20031,TurboWarp extension entry point referenced by README and scripts/generate-sb3.mjs.
CRT-002,KEEP,orphan-file,src/map-preview.js,src/map-preview.js,,medium,medium,False,1667,59763,Development map preview entry point loaded directly by map-preview.html.
CRT-003,KEEP,orphan-file,src/scene/items/firesalt.js,src/scene/items/firesalt.js,,medium,medium,False,206,7589,Re-exported by src/scene/items/index.js and used by the game item system.
CRT-004,KEEP,orphan-file,src/scene/level-five/textures.js,src/scene/level-five/textures.js,,medium,medium,False,190,7012,Imported by the playable Level 5 scene.
CRT-005,KEEP,orphan-file,src/scene/level-one/textures.js,src/scene/level-one/textures.js,,medium,medium,False,83,3404,Imported by the playable Level 1 scene.
CRT-006,KEEP,orphan-file,src/scene/level-seven/layout.js,src/scene/level-seven/layout.js,,medium,medium,False,161,4836,Imported by the playable Level 7 scene and the development map preview.
CRT-007,KEEP,orphan-file,src/scene/level-seven/textures.js,src/scene/level-seven/textures.js,,medium,medium,False,107,3280,Imported by the playable Level 7 scene.
CRT-008,KEEP,orphan-file,src/scene/level-six/textures.js,src/scene/level-six/textures.js,,medium,medium,False,103,3035,Imported by the playable Level 6 scene.
CRT-009,KEEP,orphan-file,src/scene/level-thirty-seven/textures.js,src/scene/level-thirty-seven/textures.js,,medium,medium,False,50,2322,Imported by the playable Level 37 scene.
CRT-010,KEEP,orphan-file,src/scene/level-three/props.js,src/scene/level-three/props.js,,medium,medium,False,670,21530,Imported by the playable Level 3 scene.
CRT-011,KEEP,orphan-file,src/scene/level-two/layout.js,src/scene/level-two/layout.js,,medium,medium,False,439,14557,Imported by the playable Level 2 scene and the development map preview.
CRT-012,KEEP,orphan-file,src/scene/level-two/textures.js,src/scene/level-two/textures.js,,medium,medium,False,149,5187,Imported by the playable Level 2 scene.
CRT-013,KEEP,orphan-file,src/ui/level-danger.js,src/ui/level-danger.js,,medium,medium,False,22,719,Imported by src/main.js for level danger UI state.
CRT-014,REVIEW,unused-export,ALLOW_QUERY_DEBUG from src/debug-mode.js,src/debug-mode.js,5,medium,medium,False,0,0,Not proven in a disposable copy.
CRT-015,REVIEW,unused-export,createPickupSnapshot from src/save.js,src/save.js,325,medium,medium,False,0,0,Not proven in a disposable copy.
CRT-016,REVIEW,unused-export,snapEntityPosition from src/scene/common/snap.js,src/scene/common/snap.js,3,medium,medium,False,0,0,Not proven in a disposable copy.
CRT-017,REVIEW,unused-export,snapEntityState from src/scene/common/snap.js,src/scene/common/snap.js,29,medium,medium,False,0,0,Not proven in a disposable copy.
CRT-018,REVIEW,unused-export,tileHash from src/scene/common/texture-utils.js,src/scene/common/texture-utils.js,42,medium,medium,False,0,0,Not proven in a disposable copy.
CRT-019,REVIEW,unused-export,createCarpetTexture from src/scene/common/textures.js,src/scene/common/textures.js,51,medium,medium,False,0,0,Not proven in a disposable copy.
CRT-020,REVIEW,unused-export,createCeilingTexture from src/scene/common/textures.js,src/scene/common/textures.js,89,medium,medium,False,0,0,Not proven in a disposable copy.
CRT-021,REVIEW,unused-export,createSignTexture from src/scene/common/textures.js,src/scene/common/textures.js,118,medium,medium,False,0,0,Not proven in a disposable copy.
CRT-022,REVIEW,unused-export,createWallpaperTexture from src/scene/common/textures.js,src/scene/common/textures.js,3,medium,medium,False,0,0,Not proven in a disposable copy.
CRT-023,REVIEW,unused-export,LEVEL_KEY_TARGETS from src/scene/common/world-items.js,src/scene/common/world-items.js,17,medium,medium,False,0,0,Not proven in a disposable copy.
CRT-024,REVIEW,unused-export,COMPASS_INSPECT_DISTANCE from src/scene/constants.js,src/scene/constants.js,29,medium,medium,False,0,0,Not proven in a disposable copy.
CRT-025,REVIEW,unused-export,COMPASS_PICKUP_RADIUS from src/scene/constants.js,src/scene/constants.js,28,medium,medium,False,0,0,Not proven in a disposable copy.
CRT-026,REVIEW,unused-export,COMPASS_RESPAWN_MIN from src/scene/constants.js,src/scene/constants.js,30,medium,medium,False,0,0,Not proven in a disposable copy.
CRT-027,REVIEW,unused-export,COMPASS_RESPAWN_VARIANCE from src/scene/constants.js,src/scene/constants.js,31,medium,medium,False,0,0,Not proven in a disposable copy.
CRT-028,REVIEW,unused-export,MAX_POINT_LIGHTS from src/scene/constants.js,src/scene/constants.js,6,medium,medium,False,0,0,Not proven in a disposable copy.
CRT-029,REVIEW,unused-export,MIN_FIXTURE_DISTANCE from src/scene/constants.js,src/scene/constants.js,7,medium,medium,False,0,0,Not proven in a disposable copy.
CRT-030,REVIEW,unused-export,isPlayableLevel from src/scene/constants.js,src/scene/constants.js,99,medium,medium,False,0,0,Not proven in a disposable copy.
CRT-031,REVIEW,unused-export,createLevelEightFloorTexture from src/scene/level-eight/textures.js,src/scene/level-eight/textures.js,24,medium,medium,False,0,0,Not proven in a disposable copy.
CRT-032,REVIEW,unused-export,createLevelEightWallTexture from src/scene/level-eight/textures.js,src/scene/level-eight/textures.js,25,medium,medium,False,0,0,Not proven in a disposable copy.
CRT-033,REVIEW,unused-export,LEVEL_ELEVEN_ORIGIN_X from src/scene/level-eleven/layout.js,src/scene/level-eleven/layout.js,8,medium,medium,False,0,0,Not proven in a disposable copy.
CRT-034,REVIEW,unused-export,LEVEL_ELEVEN_ORIGIN_Z from src/scene/level-eleven/layout.js,src/scene/level-eleven/layout.js,9,medium,medium,False,0,0,Not proven in a disposable copy.
CRT-035,REVIEW,unused-export,LEVEL_FIVE_EXIT_TRIGGER_RADIUS from src/scene/level-five/layout.js,src/scene/level-five/layout.js,8,medium,medium,False,0,0,Not proven in a disposable copy.
CRT-036,REVIEW,unused-export,getLevelFiveTargetMount from src/scene/level-five/layout.js,src/scene/level-five/layout.js,164,medium,medium,False,0,0,Not proven in a disposable copy.
CRT-037,REVIEW,unused-export,isInAnyLevelFiveZone from src/scene/level-five/layout.js,src/scene/level-five/layout.js,151,medium,medium,False,0,0,Not proven in a disposable copy.
CRT-038,REVIEW,unused-export,addLevelFiveExitDoor from src/scene/level-five/props.js,src/scene/level-five/props.js,220,medium,medium,False,0,0,Not proven in a disposable copy.
CRT-039,REVIEW,unused-export,createLevelFiveBoilerWallTexture from src/scene/level-five/textures.js,src/scene/level-five/textures.js,161,medium,medium,False,0,0,Not proven in a disposable copy.
CRT-040,REVIEW,unused-export,addLevelFourStairDoor from src/scene/level-four/props.js,src/scene/level-four/props.js,6,medium,medium,False,0,0,Not proven in a disposable copy.
